Gmt time,Open,High,Low,Close,Volume
01.04.2022 00:00:00.000,1.10727,1.10745,1.10595,1.10672,10626.6104
01.04.2022 01:00:00.000,1.10673,1.10730,1.10632,1.10718,6931.0098
01.04.2022 02:00:00.000,1.10717,1.10726,1.10627,1.10644,4654.8501
01.04.2022 03:00:00.000,1.10646,1.10686,1.10613,1.10652,4860.9302
01.04.2022 04:00:00.000,1.10652,1.10682,1.10627,1.10637,5140.9502
01.04.2022 05:00:00.000,1.10638,1.10742,1.10635,1.10679,4605.23
01.04.2022 06:00:00.000,1.10678,1.10757,1.10522,1.10739,10284.4004
01.04.2022 07:00:00.000,1.10736,1.10754,1.10428,1.10524,24419.3008
01.04.2022 08:00:00.000,1.10524,1.10741,1.10483,1.10605,16256.3799
01.04.2022 09:00:00.000,1.10605,1.10605,1.10414,1.10558,17176.3809
01.04.2022 10:00:00.000,1.10556,1.10672,1.10476,1.10670,9332.2695
01.04.2022 11:00:00.000,1.10673,1.10677,1.10481,1.10483,10269.1201
01.04.2022 12:00:00.000,1.10484,1.10591,1.10365,1.10438,16824.4805
01.04.2022 13:00:00.000,1.10438,1.10536,1.10385,1.10445,9122.1299
01.04.2022 14:00:00.000,1.10444,1.10498,1.10279,1.10372,8656.8203
01.04.2022 15:00:00.000,1.10372,1.10446,1.10296,1.10440,6391.7598
01.04.2022 16:00:00.000,1.10441,1.10490,1.10389,1.10402,4711.4302
01.04.2022 17:00:00.000,1.10402,1.10425,1.10325,1.10394,3852.96
01.04.2022 18:00:00.000,1.10394,1.10478,1.10385,1.10390,4145.04
01.04.2022 19:00:00.000,1.10390,1.10477,1.10390,1.10477,2506.6001
01.04.2022 20:00:00.000,1.10475,1.10524,1.10427,1.10427,4720.8701
03.04.2022 21:00:00.000,1.10301,1.10425,1.10301,1.10388,384.415
03.04.2022 22:00:00.000,1.10390,1.10440,1.10379,1.10431,1539.524
03.04.2022 23:00:00.000,1.10431,1.10456,1.10408,1.10454,1453.1801
04.04.2022 00:00:00.000,1.10458,1.10536,1.10445,1.10490,3626.1799
04.04.2022 01:00:00.000,1.10490,1.10544,1.10433,1.10490,2598.01
04.04.2022 02:00:00.000,1.10488,1.10514,1.10466,1.10488,1664.77
04.04.2022 03:00:00.000,1.10487,1.10531,1.10471,1.10478,1603.78
04.04.2022 04:00:00.000,1.10477,1.10493,1.10459,1.10478,1361.89
04.04.2022 05:00:00.000,1.10478,1.10519,1.10465,1.10513,1673.92
04.04.2022 06:00:00.000,1.10509,1.10539,1.10361,1.10392,4792.23
04.04.2022 07:00:00.000,1.10394,1.10426,1.10273,1.10313,7214.6099
04.04.2022 08:00:00.000,1.10313,1.10383,1.10192,1.10222,8531.6904
04.04.2022 09:00:00.000,1.10223,1.10320,1.10091,1.10097,6351.9902
04.04.2022 10:00:00.000,1.10098,1.10139,1.10007,1.10011,4526.8101
04.04.2022 11:00:00.000,1.10010,1.10084,1.09960,1.09966,5856.5601
04.04.2022 12:00:00.000,1.09967,1.10090,1.09958,1.09991,6543.8701
04.04.2022 13:00:00.000,1.09992,1.10028,1.09813,1.09925,5736.25
04.04.2022 14:00:00.000,1.09923,1.09983,1.09791,1.09946,8420.9805
04.04.2022 15:00:00.000,1.09943,1.10012,1.09905,1.09929,4470.9502
04.04.2022 16:00:00.000,1.09926,1.09927,1.09741,1.09748,3887.3201
04.04.2022 17:00:00.000,1.09748,1.09770,1.09628,1.09637,3476.5601
04.04.2022 18:00:00.000,1.09637,1.09725,1.09603,1.09711,2597.9299
04.04.2022 19:00:00.000,1.09711,1.09752,1.09691,1.09696,2008.9
04.04.2022 20:00:00.000,1.09697,1.09742,1.09686,1.09696,1649.17
04.04.2022 21:00:00.000,1.09689,1.09748,1.09686,1.09727,417.38
04.04.2022 22:00:00.000,1.09728,1.09748,1.09710,1.09724,1384.7456
04.04.2022 23:00:00.000,1.09727,1.09761,1.09710,1.09749,787.55
05.04.2022 00:00:00.000,1.09748,1.09797,1.09702,1.09758,3093.1299
05.04.2022 01:00:00.000,1.09760,1.09767,1.09673,1.09681,2020.05
05.04.2022 02:00:00.000,1.09682,1.09729,1.09653,1.09691,1237.98
05.04.2022 03:00:00.000,1.09690,1.09723,1.09680,1.09723,963.45
05.04.2022 04:00:00.000,1.09722,1.09723,1.09620,1.09641,3381.6699
05.04.2022 05:00:00.000,1.09644,1.09721,1.09622,1.09687,2653.55
05.04.2022 06:00:00.000,1.09687,1.09806,1.09639,1.09755,5032.7798
05.04.2022 07:00:00.000,1.09758,1.09886,1.09713,1.09815,7796.8301
05.04.2022 08:00:00.000,1.09818,1.09849,1.09619,1.09678,5276.3599
05.04.2022 09:00:00.000,1.09677,1.09853,1.09668,1.09782,4308.8101
05.04.2022 10:00:00.000,1.09781,1.09781,1.09564,1.09696,4899.3901
05.04.2022 11:00:00.000,1.09695,1.09773,1.09627,1.09672,4411.77
05.04.2022 12:00:00.000,1.09676,1.09716,1.09561,1.09639,4376.54
05.04.2022 13:00:00.000,1.09642,1.09756,1.09587,1.09692,4924.9199
05.04.2022 14:00:00.000,1.09694,1.09723,1.09311,1.09380,13024.8701
05.04.2022 15:00:00.000,1.09381,1.09415,1.09191,1.09205,5516.7998
05.04.2022 16:00:00.000,1.09206,1.09231,1.09122,1.09141,3334.9399
05.04.2022 17:00:00.000,1.09141,1.09210,1.09110,1.09131,1978.17
05.04.2022 18:00:00.000,1.09130,1.09151,1.09029,1.09044,1868.64
05.04.2022 19:00:00.000,1.09042,1.09053,1.09000,1.09037,1581.6801
05.04.2022 20:00:00.000,1.09037,1.09062,1.09026,1.09033,850.32
05.04.2022 21:00:00.000,1.09033,1.09061,1.09033,1.09056,570
05.04.2022 22:00:00.000,1.09057,1.09080,1.09047,1.09072,1121.51
05.04.2022 23:00:00.000,1.09070,1.09081,1.09047,1.09058,653.43
06.04.2022 00:00:00.000,1.09058,1.09061,1.08940,1.08942,2851.98
06.04.2022 01:00:00.000,1.08942,1.08960,1.08906,1.08915,3717.6599
06.04.2022 02:00:00.000,1.08916,1.09032,1.08909,1.08964,2854.4299
06.04.2022 03:00:00.000,1.08963,1.09027,1.08956,1.09003,2115.27
06.04.2022 04:00:00.000,1.09002,1.09014,1.08931,1.08967,1651.04
06.04.2022 05:00:00.000,1.08966,1.09004,1.08833,1.08837,2175.05
06.04.2022 06:00:00.000,1.08835,1.08882,1.08745,1.08880,5518.8799
06.04.2022 07:00:00.000,1.08881,1.09019,1.08836,1.08952,7817.25
06.04.2022 08:00:00.000,1.08951,1.09271,1.08912,1.09232,8058.79
06.04.2022 09:00:00.000,1.09230,1.09255,1.09069,1.09127,6079.25
06.04.2022 10:00:00.000,1.09126,1.09137,1.08994,1.09120,4965.79
06.04.2022 11:00:00.000,1.09117,1.09186,1.09045,1.09166,4808.5
06.04.2022 12:00:00.000,1.09172,1.09379,1.09172,1.09331,6590.6699
06.04.2022 13:00:00.000,1.09332,1.09372,1.09126,1.09135,5252.6602
06.04.2022 14:00:00.000,1.09135,1.09237,1.09055,1.09196,6101.8701
06.04.2022 15:00:00.000,1.09193,1.09225,1.09027,1.09103,5930.02
06.04.2022 16:00:00.000,1.09101,1.09154,1.09037,1.09080,5718.4302
06.04.2022 17:00:00.000,1.09079,1.09105,1.08995,1.09001,6503.0898
06.04.2022 18:00:00.000,1.09000,1.09288,1.08787,1.08992,27738.6309
06.04.2022 19:00:00.000,1.08992,1.09063,1.08916,1.09003,5474.5298
06.04.2022 20:00:00.000,1.09003,1.09018,1.08926,1.08945,2745.1201
06.04.2022 21:00:00.000,1.08945,1.08986,1.08945,1.08976,1355.05
06.04.2022 22:00:00.000,1.08974,1.08994,1.08945,1.08957,2807.48
06.04.2022 23:00:00.000,1.08957,1.08995,1.08951,1.08975,3138.8501
07.04.2022 00:00:00.000,1.08975,1.09121,1.08966,1.09119,10711.2998
07.04.2022 01:00:00.000,1.09119,1.09126,1.09042,1.09104,9506.1396
07.04.2022 02:00:00.000,1.09102,1.09115,1.09046,1.09115,4558.3301
07.04.2022 03:00:00.000,1.09115,1.09122,1.09052,1.09070,4702.5601
07.04.2022 04:00:00.000,1.09071,1.09159,1.09060,1.09142,3800.99
07.04.2022 05:00:00.000,1.09141,1.09202,1.09096,1.09187,6548.7402
07.04.2022 06:00:00.000,1.09186,1.09341,1.09125,1.09170,9278.7803
07.04.2022 07:00:00.000,1.09172,1.09188,1.08946,1.08978,10952.4805
07.04.2022 08:00:00.000,1.08979,1.09006,1.08754,1.08778,8987.1602
07.04.2022 09:00:00.000,1.08777,1.08973,1.08644,1.08919,10352.2803
07.04.2022 10:00:00.000,1.08921,1.08985,1.08867,1.08939,6031.3398
07.04.2022 11:00:00.000,1.08940,1.09216,1.08907,1.09110,25828.9902
07.04.2022 12:00:00.000,1.09110,1.09267,1.09095,1.09134,10112.4102
07.04.2022 13:00:00.000,1.09137,1.09383,1.09070,1.09142,10314.5898
07.04.2022 14:00:00.000,1.09143,1.09236,1.08980,1.09111,14875.5
07.04.2022 15:00:00.000,1.09111,1.09152,1.08953,1.08984,9762.3896
07.04.2022 16:00:00.000,1.08984,1.09000,1.08764,1.08771,6104.0298
07.04.2022 17:00:00.000,1.08770,1.08921,1.08767,1.08832,4628.98
07.04.2022 18:00:00.000,1.08831,1.08884,1.08738,1.08799,4915.6299
